table,column,displayName,isNullable,showInList,dataType,length,position,dafaultValue,relationTable,relationType,link,columnInForm
edicion,id,Id,FALSE,TRUE,int,10,1,,,,,3
edicion,titulo,Título,FALSE,TRUE,varchar,200,2,,,,,1
edicion,categoria,Categoria,FALSE,TRUE,int,10,3,,categorias,one,,1
edicion,numero,Nro. de edición,FALSE,TRUE,int,10,4,,,,,1
edicion,bajada,Bajada,FALSE,FALSE,html,,5,,,,,2
edicion,imagenes,Tapa,FALSE,FALSE,file_image,,6,,,,,3
edicion,enabled,Activo,FALSE,TRUE,boolean,,7,,,,,3
edicion,sortOrder,Orden,FALSE,TRUE,int,10,8,,,,,3
edicion,createDateTime,Creado en,FALSE,TRUE,datetime,200,9,,,,,3
edicion,updateDateTime,Modificado en,FALSE,TRUE,datetime,200,10,,,,,3
edicion,paginas,Páginas,FALSE,TRUE,link,,11,,,,paginas,3
revista,id,Id,FALSE,TRUE,int,10,1,,,,,1
revista,titulo,Título,FALSE,TRUE,varchar,200,2,,,,,1
revista,texto,Textos,FALSE,FALSE,html,,3,,,,,2
revista,imagenes,Imagen,FALSE,FALSE,file_image,,4,,,,,3
revista,enabled,Activo,FALSE,TRUE,boolean,,5,,,,,3
revista,sortOrder,Orden,FALSE,TRUE,int,10,6,,,,,3
revista,createDateTime,Creado en,FALSE,TRUE,datetime,200,7,,,,,3
revista,updateDateTime,Modificado en,FALSE,TRUE,datetime,200,8,,,,,3
publicidad,id,Id,FALSE,TRUE,int,10,1,,,,,1
publicidad,titulo,Título,FALSE,TRUE,varchar,200,2,,,,,1
publicidad,texto,Textos,FALSE,FALSE,html,,3,,,,,2
publicidad,imagenes,Imagen,FALSE,FALSE,file_image,,4,,,,,3
publicidad,enabled,Activo,FALSE,TRUE,boolean,,5,,,,,3
publicidad,sortOrder,Orden,FALSE,TRUE,int,10,6,,,,,3
publicidad,createDateTime,Creado en,FALSE,TRUE,datetime,200,7,,,,,3
publicidad,updateDateTime,Modificado en,FALSE,TRUE,datetime,200,8,,,,,3
distribucion,id,Id,FALSE,TRUE,int,10,1,,,,,3
distribucion,titulo,Título,FALSE,TRUE,varchar,200,2,,,,,1
distribucion,texto,Textos,FALSE,FALSE,html,,3,,,,,2
distribucion,imagenes,Imagen,FALSE,FALSE,file_image,,4,,,,,3
distribucion,enabled,Activo,FALSE,TRUE,boolean,,5,,,,,3
distribucion,sortOrder,Orden,FALSE,TRUE,int,10,6,,,,,3
distribucion,createDateTime,Creado en,FALSE,TRUE,datetime,200,7,,,,,3
distribucion,updateDateTime,Modificado en,FALSE,TRUE,datetime,200,8,,,,,3
secciones,id,Id,FALSE,TRUE,int,10,1,,,,,1
secciones,titulo,Título,FALSE,TRUE,varchar,200,2,,,,,1
secciones,icon,Icono,FALSE,FALSE,file_image,,3,,,,,3
secciones,enabled,Activo,FALSE,TRUE,boolean,,4,,,,,3
secciones,sortOrder,Orden,FALSE,TRUE,int,10,5,,,,,3
secciones,createDateTime,Creado en,FALSE,TRUE,datetime,200,6,,,,,3
secciones,updateDateTime,Modificado en,FALSE,TRUE,datetime,200,7,,,,,3
paginas,id,Id,FALSE,TRUE,int,10,1,,,,,1
paginas,titulo,Título,FALSE,TRUE,varchar,200,2,,,,,1
paginas,edition,Edición,FALSE,TRUE,varchar,200,3,,edicion,one,,1
paginas,seccion,Sección,FALSE,TRUE,int,10,4,,secciones,one,,1
paginas,data,Página,FALSE,FALSE,editor,,6,,,,,2
paginas,sortOrder,Orden,FALSE,TRUE,int,10,9,,,,,1
paginas,enabled,Activo,FALSE,TRUE,boolean,,10,,,,,1
paginas,createDateTime,Creado en,FALSE,TRUE,datetime,200,11,,,,,1
paginas,updateDateTime,Modificado en,FALSE,TRUE,datetime,200,12,,,,,1
categorias,id,Id,FALSE,TRUE,int,10,1,,,,,1
categorias,nombre,Nombre,FALSE,TRUE,varchar,200,2,,,,,1
categorias,enabled,Activo,FALSE,TRUE,boolean,,3,,,,,1
categorias,sortOrder,Orden,FALSE,TRUE,int,10,4,,,,,1
categorias,createDateTime,Creado en,FALSE,TRUE,datetime,200,5,,,,,1
categorias,updateDateTime,Modificado en,FALSE,TRUE,datetime,200,6,,,,,1
